file_name,Caption,malignancy
ROCOv2_2023__028979.jpg,"Ultrasonography imaging of the left stellate ganglion & prevertebral fascia (asterisks). Needle was advanced with real-time ultrasonography so that the needle tip will lie anterior to the longus coli. Th: Thyroid, LCo: Longus coli muscle, LCp: Longus capitus muscle, CA: Carotid artery, SCM: Sternocleidomastoid muscle, TP: Transverse process.",benign
ROCOv2_2023__029234.jpg,Thyroid ultrasound in an infant with Down syndrome and PAX8 mutation (patient P11 in Table 1 and Hermanns et al). Thyroid appears bulky but combined lobe volume is actually small at 0.78 ml (reference range 0.8–2.4 ml).,benign
ROCOv2_2023__029235.jpg,"Ultrasound of infant with a variant of the brain–lung–thyroid syndrome with mutation adjacent to the NKX2.1 gene (patient T6, Table 2). Subjective evaluation suggested a bulky gland attributable to a single, flattened, slightly curved anterior border but measured volume was small-normal at 0.94 ml.o PostScript",benign
ROCOv2_2023__029237.jpg,"Ultrasound of infant with compound heterozygous DUOX.2 mutation (patient P7, Table 1), showing loss of normal curves of anterior margin of thyroid. Objective measurement of the gland at 1.75 ml falls within normal limits.",benign
ROCOv2_2023__030388.jpg,Ultrasound of thyroid. Heterogeneous thyroid echogenicity with increased parenchymal vascularity.,benign
ROCOv2_2023__031394.jpg,"A 46-year-old woman with degenerated multinodular goiter.Longitudinal sonogram shows a 35 mm, smooth, cystic anechoic nodule in the left thyroid lobe. Echogenic foci with comet-tail artifact freely distributed (solid arrow) (Type 1). The patient underwent surgery due to contralateral thyroid malignancy.",benign
ROCOv2_2023__031395.jpg,"A 41-year-old man with multinodular goiter.Longitudinal sonogram shows an 36-mm, smooth, mixed isoechoic nodule in the right thyroid lobe. Echogenic focus is located at the margin of solid component (solid arrow); comet-tail artifact is located within the cystic component (Type 2).",benign
ROCOv2_2023__031396.jpg,"A 31-year-old woman with papillary thyroid carcinoma.Longitudinal sonogram shows a 5-mm, smooth, solid hypoechoic nodule in the right thyroid lobe. The echogenic focus (solid arrow) is located at the margin of intra-nodular micro-cyst. Comet-tail artifact was detected in the solid component (Type 2).",malignant
ROCOv2_2023__031397.jpg,"A 52-year-old woman with papillary thyroid carcinoma.Longitudinal sonogram showing a 45-mm, ill-defined, hypoechoic solid nodule in the right thyroid lobe. A linear echogenic focus with reverse-triangle artifact (solid arrow), and a round echogenic focus with fine artifact (arrowhead), and a punctate echogenic foci (faint arrow) are seen (Type 3).",malignant
ROCOv2_2023__031883.jpg,Ultrasound of the thyroid showing an intense vascularity on color Doppler that is consistent with an “inferno”.,benign
ROCOv2_2023__034429.jpg,"Transverse color Doppler sonogram of a nodule in the right thyroid lobe which was proven to be follicular thyroid carcinoma (outlined). The nodule showed both peripheral (arrows) and central (arrowheads) vascularity. SCM, sternocleidomastoid muscle; CCA, common carotid artery; IJV, internal jugular vein.",malignant
ROCOv2_2023__034718.jpg,Ultrasound number 1 of left lower parathyroid gland—7/24/12: after infarction.,benign
ROCOv2_2023__034719.jpg,Ultrasound number 2 of left lower parathyroid gland—8/9/12: after infarction.,benign
ROCOv2_2023__034905.jpg,Contrast-enhanced chest computed tomography (CT) taken before ultrasound-guided fine needle aspiration (FNA) of the thyroid gland reveals well-defined low density nodule in right lobe of thyroid gland,benign
ROCOv2_2023__036387.jpg,Thyroid microcarcinoma was discovered by screening with ultrasonography.,malignant
ROCOv2_2023__036527.jpg,Transverse ultrasound image of predominantly cystic nodule in 69-year-old woman. Eccentric solid position protruded internally and contained multiple microcalcifications. Note difference between smooth margin of entire nodule (arrows) and non-smooth margin of internal solid portion (arrowheads). Papillary thyroid carcinoma was diagnosed by fine needle aspiration and surgery.,malignant
ROCOv2_2023__036528.jpg,Longitudinal ultrasound image of predominantly cystic nodule in 66-year-old woman shows eccentric configuration. Note difference between smooth margin of entire nodule (arrows) and non-smooth margin of internal solid portion (arrowheads). This lesion was surgically confirmed as papillary thyroid carcinoma despite substantial cystic portion.,malignant
ROCOv2_2023__036529.jpg,Transverse ultrasound image of predominantly cystic nodule in 63-year-old woman shows eccentric configuration of internal solid portion with multiple microcalcifications. Note non-smooth margin of internal solid portion (arrows). This lesion was surgically confirmed as papillary thyroid carcinoma despite substantial cystic portion.,malignant
ROCOv2_2023__038535.jpg,An ultrasound scan demonstrating hypoechoic nodules (outlined by caliper markings) inferior to both thyroid nodules highly suggestive of parathyroid adenomas.,benign
ROCOv2_2023__038969.jpg,"Ultrasound of thyroid nodule and parathyroid adenoma showing well-defined solid mass (21 × 18 × 36 mm) with increased vascularity in relation to the upper pole of the left thyroid lobe and lateral to the isthmus suggesting PA; and heterogeneous solid isoechoic nodule (23 × 16 × 38 mm) in the left thyroid lobe appearing wider than tall, with predominant peripheral vascularity suggesting a left thyroid nodule (GPA: giant parathyroid adenoma; St M: strap muscle; C Sh: carotid sheath; Thy N: thyroid nodule).",benign
ROCOv2_2023__039186.jpg,Color Doppler ultrasound of thyroid gland of the patient,benign
ROCOv2_2023__039269.jpg,Ultrasound showing parathyroid mass in relation to the two thyroid nodules.,benign
ROCOv2_2023__039538.jpg,"Sonography of left sub-hyoid region1 – hyoid bone, 2 – thyrohyoid membrane, 3 – thyroid cartilage, 4 – internal branch of the superior laryngeal nerve, 5 – thyrohyoid muscle)",benign
ROCOv2_2023__040608.jpg,"CT neck, transverse plane. A 2.8 × 2.6 cm complex nodule in the left lobe of the thyroid. On further examination by way of a thyroid ultrasound, the lesion was further characterized and described as an echo poor mass showing lobulated margins and coarse internal calcification, highly suspicious for malignancy.",benign
ROCOv2_2023__040673.jpg,Thyroid ultrasound significant for bilateral lobe enlargement.,benign
ROCOv2_2023__040813.jpg,Ultrasonography showed the left thyroid lobe was swelling with multiple funicular hypoechoic lesions,benign
ROCOv2_2023__040839.jpg,"Sonography of a 54-year-old female with follicular carcinoma.There is an isoechoic thyroid nodule with heterogeneous echogenicity. This nodule shows flat orientation and a smooth, thick hypoechoic rim without internal calcifications or any cystic changes.",malignant
ROCOv2_2023__040947.jpg,"A 23-year-old male was referred for suspected thyroid enlargement. The serum PTH level of the patient was 81.4 pg/mL and Tc-99m MIBI was negative, but US found a cystic nodule behind the lower pole of the left lobe of the thyroid. The aspirate fluid PTH level of the patient was 302 pg/mL. The patient was followed-up with serum PTH determination and US examination for 5 years; no significant change was found. MIBI = sestamibi, PTH = intact parathyroid hormone, US = ultrasound.",benign
ROCOv2_2023__041723.jpg,"Thyroid ultrasound scan shows a round well circumscribed heterogeneous, highly vascular mass arising from the right lobe of the thyroid, measuring 21 x 17 x 17 mm.",benign
ROCOv2_2023__041890.jpg,"Almost 30 minutes after thrombolysis, transverse ultrasound of the thyroid showed diffusely swollen thyroid with linear hypoechoic areas (arrows) throughout the entire gland, forming a “cracked” gland appearance.",benign
ROCOv2_2023__042295.jpg,Thyroid sonography shows a heterogenous internal structure without an increase in size or vascularity of the bilateral gland.,benign
ROCOv2_2023__042956.jpg,"The ultrasonography of thyroid showed 0.6 cm hypoechoic nodule in the right lobe with taller-than-wide appearance, which was suspicious for malignancy.",benign
ROCOv2_2023__043884.jpg,"Findings of positron emission tomography-computed tomography (PET-CT). PET-CT showed (1) a metabolically mildly active right breast lesion compatible with the proven right breast cancer, which was proven by an ultrasound-guided core needle biopsy (2) a metabolically mildly active left thyroid lesion, which was suspicious for thyroid cancer, (3) a metabolically active prevascular (ascending paraaortic) nodal lesion, (4) metabolically active upper abdominal nodal lesions (left gastric lymph node and adjacent to hepatic and splenic artery), which were suspicious for metastatic nodal lesions or a primary pancreas tail mass (4), (5) suspicious left adrenal metastasis and (6) mild endometrial uptake, which was suspicious for myoma or endometrial malignancy.",malignant
ROCOv2_2023__044627.jpg,"Ultrasound image demonstrates a hypoechoic mass, 1.9 × 0.4 × 1 cm, inferior and posterior to the right lobe of the thyroid, consistent an enlarged right inferior parathyroid gland.",benign
ROCOv2_2023__045688.jpg,Ultrasonography showing a 2-cm tumor located in the right upper thyroid gland (arrowheads).,benign
ROCOv2_2023__046113.jpg,"On transverse sonogram of the thyroid, right lobe (R) displays normal, homogeneous echotexture without any nodule. Left lobe cannot be demonstrated. Strap muscles and vascular structures are displaced to fill the location of the left lobe (L).",benign
ROCOv2_2023__047045.jpg,"A 44-year-old man with a papillary thyroid carcinoma without any mutation in right thyroid lobe. Transverse (A) and longitudinal (B) ultrasonographic images show a 3.0-cm solid mass with circumscribed margin, oval-to-round shape, isoechogenicity, parallel orientation, and microcalcifications. This mass was classified as K-TIRADS category 4. After surgery, there was no lymph node metastasis and TNM stage was classified as I. There was no recurrence during 10.9 years of follow-up.",malignant
ROCOv2_2023__047046.jpg,"A 52-year-old woman with a papillary thyroid carcinoma with BRAF mutation in right thyroid lobe. Transverse (A) and longitudinal (B) ultrasonographic images show a 2.2-cm solid mass with spiculated margin, irregular shape, hypoechogenicity, non-parallel orientation, and micro- and macrocalcifications. This mass was classified as K-TIRADS category 5. After surgery, central lymph nodes were confirmed as metastases and TNM stage was classified as III. There was no recurrence during 11.4 years of follow-up.",malignant
ROCOv2_2023__047047.jpg,"A 56-year-old woman with a papillary thyroid carcinoma with TERT+BRAF mutations in left thyroid lobe. Transverse (A) ultrasonographic image shows a 3.0-cm solid mass with spiculated margin, irregular shape, hypoechogenicity, non-parallel orientation, and microcalcifications. Transverse (B) ultrasonographic image shows an enlarged lymph node with increased cortical echogenicity and cystic changes in left level IV. The main mass was classified as K-TIRADS category 5 and the level IV lymph node was considered metastatic. After surgery, level IV lymph nodes were confirmed as metastases and TNM stage was classified as IV. Bilateral lung metastases and operative bed recurrences were diagnosed 4.4 years after surgery.",malignant
ROCOv2_2023__047307.jpg,Ultrasonography of thyroid gland showing multiple cystic areas.,benign
ROCOv2_2023__047379.jpg,Ultrasonography of the neck showed a mass near the upper pole of left lobe of the thyroid.,benign
ROCOv2_2023__047398.jpg,"Ultrasonography performed on 55-year-old female with medullary thyroid carcinoma.Sagittal scan shows 13 mm, solid, ovoid to round, markedly hypoechoic nodule with spiculated border (arrows) and internal macrocalcifications. This nodule was classified as suspicious malignant.",malignant
ROCOv2_2023__047399.jpg,"Ultrasonography performed on 61-year-old female with medullary thyroid carcinoma.Transverse scan shows 18 mm, solid, ovoid to round, hypoechoic nodule with smooth border. This nodule was classified as indeterminate.",malignant
ROCOv2_2023__047400.jpg,"Ultrasonography performed on 51-year-old male with papillary thyroid carcinoma.Transverse scan shows 6 mm, solid, taller than wide, hypoechoic nodule (arrow) with spiculated border and internal microcalcifications. This lesion was classified as suspicious malignant nodule.",malignant
ROCOv2_2023__048593.jpg,"Thyroid sonogram showing a 3.7 × 2.5 × 2.9 cm oval heterogeneous structure, in the left lobe.",benign
ROCOv2_2023__049047.jpg,Ultrasound images in the right half of the thyroid gland of an 81-year-old man with squamous cell carcinoma on the right side of the tongue and metastasis in one of the superior internal jugular lymph nodes. A 2.6-cm echogenic mass (arrows) in the right half of the thyroid gland is shown.,malignant
ROCOv2_2023__049079.jpg,Post-operative neck ultrasound demonstrating trachea and strap muscles. The brightly reflective bow tie structure anterior to the trachea representative of normal thyroid is absent.,benign
ROCOv2_2023__049785.jpg,Grayscale ultrasound image of the right thyroid lobe of a 35-year-old female patient. The white circle and white arrow indicate a suspicious thyroid nodule. The maximum diameter of the nodule in the transverse view was 4.8 mm.,benign
ROCOv2_2023__049786.jpg,Grayscale ultrasound image of the right thyroid lobe of a 36-year-old female patient. The nodule was 3 mmin size. The white circle and white arrow indicate a suspicious thyroid nodule. The saffron circle and saffron arrow indicate the carotid artery. AB: the depth of the nodule and AC: the distance of the nodule from the carotid artery.,benign
ROCOv2_2023__050634.jpg,Thyroid ultrasound with a 2.2 cm hypoechoic nodule in the right middle lobe with faint microcalcifications,benign
ROCOv2_2023__051502.jpg,Ultrasonography revealed multiple bilateral thyroid nodules and a hypoechoic mass in the left side of the neck.,benign
ROCOv2_2023__051880.jpg,"Transverse sonographic image of the thyroid gland. In the left thyroid lobe, there is a hypoechoic, well-demarked lesion. Macrocalcifications are ventral and in the middle of the cyst.",benign
ROCOv2_2023__052733.jpg,Thyroid ultrasonography showing a left 5 cm solid and isohypoechoic nodule with peripheral and intranodular vascularization.,benign
ROCOv2_2023__053352.jpg,"Ultrasound transversal view of the neck. Th, thyroid gland; TL, trachea lumen; TR, tracheal ring; V, vessel.",benign
ROCOv2_2023__053492.jpg,Ultrasonographic axial section showing KJD behind the thyroid left lobe.,benign
ROCOv2_2023__053952.jpg,Color Doppler sonogram of a 55-year-old woman diagnosed with Graves disease.The superior thyroidal arterymean peak systolic velocity is measured to be 81.0 cm/sec.,benign
ROCOv2_2023__054197.jpg,"Thyroid ultrasound revealed a 14x14x22 mm nodule with a mixed echo pattern, rough calcification foci and cystic-necrotic areas in the left lobe lower pole. Fine needle aspiration biopsy of this nodule complied with benign follicular nodule. Bone scintigraphy is usually performed to evaluate a wide variety of skeletal abnormalities (1). Tc-99m-labeled diphosphonates have been used for bone scanning as a major diagnostic tool since the beginning of 1970s (2). Tc-99m MDP has rapid blood clearance, excellent in vivo chemical stability, and a high bone-to-soft tissue ratio, thus, it is ideal for bone imaging (3). In the literature, many cases of incidental Tc-99m-MDP uptake by the soft tissue have been reported due to various reasons, both benign (tumoral calcinosis, myositis ossificans) and malignant (sarcomas, adenocarcinomas, metastases) conditions (4,5). Mechanisms leading to increased extraosseous Tc-99m MDP uptake include extracellular fluid expansion, enhanced local vascularity and permeability, and high tissue calcium concentration. The composition of the calcium deposition and the presence of other elements (e.g. iron and magnesium) are important (4). It is known that there may be incidental Tc-99m MDP uptake in the thyroid gland, in calcific thyroid nodules, secondary to biopsy interventions, anaplastic thyroid carcinoma or metastatic thyroid cancer (4,6). In our case, unexpected incidental Tc-99m MDP involvement was presented in a functionally active thyroid nodule. This appearance of Tc-99m MDP uptake in an active thyroid nodule, first demonstrated in this case, is thought to be secondary to the presence of microcalcifications in the nodule",malignant
ROCOv2_2023__054762.jpg,"Thyroid ultrasound at birth in which the enlargement of the gland was detected (cursor 1 isthmus, 0.8 cm; cursor 2 antero–posterior diameter of the right lobe, 2.5 cm; cursor 3 antero–posterior diameter of the left lobe, 2.2 cm).",benign
ROCOv2_2023__055065.jpg,Ultrasound image of thyroiditis in a 6-month-old child.,benign
ROCOv2_2023__055115.jpg,"A 47-year-old woman with papillary thyroid cancer.Ultrasonogram shows a hyperechoic lymph node (arrowheads) with loss of fatty echogenic hilum in the left neck level VI region. However, there is no demonstrable metastatic lymph node in the neck computed tomography. This lymph node was surgically confirmed as metastatic papillary carcinoma.",malignant
ROCOv2_2023__055116.jpg,"A 35-year-old woman with papillary thyroid cancer.Neck computed tomography reveals that a suspicious lymph node (arrowheads) in the left neck level VI region, posterior to an ipsilateral malignant thyroid nodule (not shown), has a taller than wide shape with moderate enhancement. However, ultrasonogram did not show a definite metastatic lymph node. This lymph node was surgically confirmed as metastatic papillary carcinoma.",malignant
ROCOv2_2023__055686.jpg,Ultrasonography of the neck showed absence of thyroid tissue,benign
ROCOv2_2023__057406.jpg,A benign nodule (the Bethesda System for Reporting Thyroid Cytopathology category II on fine-needle aspiration cytology) in the right thyroid lobe of a 43-year-old woman.A transverse ultrasonography shows an isoechoic and hyperechoic mixed solid-cystic nodule with well-defined margins (arrowheads). The total malignancy score of this nodule was 1 because of the mixed vascularization (not shown).,benign
ROCOv2_2023__057407.jpg,"A papillary carcinoma (confirmed by fine-needle aspiration cytology and surgery) in the left thyroid lobe of a 24-year-old woman.A transverse ultrasonography shows a single, hypoechoic, solid nodule with irregular margins (arrowheads), containing some fine areas of hyperechogenicity (arrows) without any comet-tail artifacts that grew by >20% in the preceding 6 months. The total malignancy score of this nodule was 8.",malignant
ROCOv2_2023__057408.jpg,A follicular adenoma (the Bethesda System for Reporting Thyroid Cytopathology category III on fine-needle aspiration cytology) in the right thyroid lobe of a 76-year-old woman.A transverse ultrasonography shows a single solid nodule (shown in the square) with mixed vascularization on a power Doppler examination that grew by >20% in the preceding 6 months. The total malignancy score of this nodule was 5.,benign
ROCOv2_2023__057433.jpg,Thyroid ultrasonography shows a well-defined hypoechoic mass in the left lobe.,benign
ROCOv2_2023__057546.jpg,Thyroid ultrasound: linear probe and high frequency. Right lobe: hypoechoic polylobular nodule with intense intranodular vascularisation classified as EU-TIRADS 5.,benign
ROCOv2_2023__058056.jpg,Ultrasound neck showing enlarged left thyroid lobe.,benign
ROCOv2_2023__058261.jpg,Thyroid ultrasonography showing a solid oval-shaped nodule (0.87 cm) with multiple tiny calcifications in the upper pole of the left thyroid gland.,benign
ROCOv2_2023__058315.jpg,"Ultrasound revealing an inhomogeneous, mildly enlarged thyroid",benign
ROCOv2_2023__058358.jpg,Intraoperative ultrasound revealing a 2 cm heterogeneous right-sided mass consistent with an abnormal right upper parathyroid gland.,benign
ROCOv2_2023__058668.jpg,"Visualization of the hyoid bone and larynx by ultrasonography, and the HL motion ratio.(A) Distance from the resting position at which elevation of the upper end of the thyroid cartilage reaches the maximally elevated position, at which elevation stops.(B) Distance from the resting position at which elevation of the hyoid bone reaches the maximally elevated position, at which elevation stops.",benign
ROCOv2_2023__059120.jpg,Ultrasound imaging of the relaxed vocal cords (white line with arrows). (1) Vocal muscle. (2) Thyroid cartilage.,benign
ROCOv2_2023__059122.jpg,"Transverse neck ultrasound image at the level of C6 vertebra. (1) Internal jugular vein, (2) common carotid artery, (3) subcutaneous tissue, (4) thyroid gland, and (5) trachea.",benign
ROCOv2_2023__059560.jpg,"Ultrasound scan of a papillary thyroid microcarcinoma (PTMC) in a 50-year-old female. A hypoechoic nodule, 0.52×0.65 cm in size, was observed in the right lobe. The PTMC has an unclear boundary, an irregular shape and a ratio of length/width of ≥1.",malignant
ROCOv2_2023__059561.jpg,"Ultrasound scan of a papillary thyroid microcarcinoma (PTMC) in a 47-year-old female. A hypoechoic nodule, 0.72×0.53 cm in size, was observed in the right lobe. The PTMC has an unclear boundary with microcalcification surrounding the nodule.",malignant
ROCOv2_2023__059562.jpg,"Ultrasound scan of a papillary thyroid non-microcarcinoma (non-PTMC) in a 56-year-old female. A hypoechoic nodule, 2.04×1.76 cm in size, was observed in the right lobe. The non-PTMC has a less clear boundary, shallow lobulation and microcalcification.",malignant
ROCOv2_2023__059563.jpg,"Ultrasound scan of a papillary thyroid non-microcarcinoma (non-PTMC) in a 41-year-old male. A cystic-solid nodule, 2.36×1.65 cm in size, was observed in the left lobe. The non-PTMC has an unclear boundary of the solid component, an irregular shape, dense microcalcification and strip-like blood vessels.",malignant
ROCOv2_2023__059783.jpg,Ultrasound image of iSLN block.(A) Hyoid bone and thyroid cartilage were marked in the ultrasound image. (B) The red dotted line and yellow circle represented thyrohyoid membrane and superior laryngeal nerve respectively. (C) The white arrow represented the needle path.,benign
ROCOv2_2023__000116.jpg,Ultrasound image of the left thyroid area during US-FNABAn ultrasound examination during US-FNAB revealed a hypoechoic cystic lesion (red arrow) in the left thyroid. The margins were smooth and well-defined. A few echogenic granules were observed in the capsule. An FNAB was then performed with two needle passes of a 21-gauge needle. A hypoechoic solid lesion (white star) corresponding to the site of the left parathyroid was also identified but not biopsied.US-FNAB - ultrasound-guided fine-needle aspiration biopsy,benign
ROCOv2_2023__000137.jpg,Transverse view of the ultrasound-guided fine needle aspiration of the left thyroid lobe. The arrows are pointing to the fine needle.,benign
